Energy	DeltaPara	BetaPara	DeltaPerp	BetaPerp
1.000000000000000000e+01	-1.808537493682421948e-01	2.939758123882538210e-01	-1.775480042086531873e-01	2.939758123882538210e-01
1.016169999999999973e+01	-1.997388469702588154e-01	2.990008730224436029e-01	-1.965372948177717405e-01	2.990008730224436029e-01
1.032610000000000028e+01	-1.504459104895152222e-01	3.041177195739321326e-01	-1.473453128674793999e-01	3.041177195739321326e-01
1.049310000000000009e+01	-1.269147148053034746e-01	3.093606991714306642e-01	-1.239118486048081530e-01	3.093606991714306642e-01
1.066280000000000072e+01	-1.136320970555703691e-01	3.147280600071064582e-01	-1.107238757283193348e-01	3.147280600071064582e-01
1.083530000000000015e+01	-1.058732208653919010e-01	3.205245465405043293e-01	-1.030566845982962970e-01	3.205245465405043293e-01
1.101060000000000016e+01	-1.010208292942634950e-01	3.273475657486664137e-01	-9.829308663639853283e-02	3.273475657486664137e-01
1.118859999999999921e+01	-9.776440632104863027e-02	3.343919945584233333e-01	-9.512258825096900350e-02	3.343919945584233333e-01
1.136960000000000015e+01	-9.559812817469372226e-02	3.421201665624597488e-01	-9.303957743385270207e-02	3.421201665624597488e-01
1.155349999999999966e+01	-9.352402926932108784e-02	3.508461047697785662e-01	-9.104610375234173381e-02	3.508461047697785662e-01
1.174039999999999928e+01	-9.088923404634710601e-02	3.598663009549633029e-01	-8.848939788112272775e-02	3.598663009549633029e-01
1.193030000000000079e+01	-8.698704342452340255e-02	3.692429741465181325e-01	-8.466282098687141766e-02	3.692429741465181325e-01
1.212320000000000064e+01	-8.242437927929471830e-02	3.767680794727528704e-01	-8.017335601722529181e-02	3.767680794727528704e-01
1.231930000000000014e+01	-7.800046839317659186e-02	3.841167800788469755e-01	-7.582036197702408942e-02	3.841167800788469755e-01
1.251859999999999928e+01	-7.329183279659430561e-02	3.912079152735276066e-01	-7.118041285302188770e-02	3.912079152735276066e-01
1.272100000000000009e+01	-6.783003601436626839e-02	3.983555390514466055e-01	-6.578509306853079497e-02	3.983555390514466055e-01
1.292680000000000007e+01	-6.182528346074912112e-02	4.044112231697779558e-01	-5.984475791428939262e-02	4.044112231697779558e-01
1.313589999999999947e+01	-5.543670443425129796e-02	4.105647907174727052e-01	-5.351855291321819252e-02	4.105647907174727052e-01
1.334830000000000005e+01	-4.695431325449161974e-02	4.169311914642774286e-01	-4.509654291855201558e-02	4.169311914642774286e-01
1.356419999999999959e+01	-3.791064830470985969e-02	4.190581573577808472e-01	-3.611137017675835476e-02	4.190581573577808472e-01
1.378359999999999985e+01	-3.054176153254067536e-02	4.204340404963874400e-01	-2.879913037618460694e-02	4.204340404963874400e-01
1.400660000000000061e+01	-2.375464939733624645e-02	4.221940696255313541e-01	-2.206688848247338394e-02	4.221940696255313541e-01
1.423310000000000031e+01	-1.662543135508185235e-02	4.240610477845705439e-01	-1.499078268561869660e-02	4.240610477845705439e-01
1.446330000000000027e+01	-8.560793363185390317e-03	4.256116387692576164e-01	-6.977588072088193767e-03	4.256116387692576164e-01
1.469730000000000025e+01	2.311780242553028051e-04	4.254024419748526631e-01	1.764548526286355756e-03	4.254024419748526631e-01
1.493500000000000050e+01	7.894372742379557328e-03	4.226420185129389218e-01	9.379499739565496860e-03	4.226420185129389218e-01
1.517650000000000077e+01	1.384837291174550664e-02	4.200024017681590061e-01	1.528678824474869608e-02	4.200024017681590061e-01
1.542200000000000060e+01	1.885853578806027248e-02	4.173912960589380994e-01	2.025169721003182779e-02	4.173912960589380994e-01
1.567140000000000022e+01	2.304881183459052754e-02	4.149636640608128646e-01	2.439816092164840550e-02	4.149636640608128646e-01
1.590000000000000036e+01	2.625633712276913626e-02	4.129016569433783812e-01	2.756732533210614483e-02	4.129016569433783812e-01
1.592489999999999917e+01	2.661258690002509669e-02	4.126738717400519341e-01	2.791949617421223342e-02	4.126738717400519341e-01
1.610000000000000142e+01	2.832540422276723369e-02	4.104873064861009890e-01	2.960416231423253566e-02	4.104873064861009890e-01
1.618250000000000099e+01	2.893255878187595345e-02	4.094563112034658725e-01	3.019836878115978243e-02	4.094563112034658725e-01
1.644419999999999860e+01	2.407688988470964991e-02	4.033038206565792705e-01	2.530290864486560432e-02	4.033038206565792705e-01
1.671020000000000039e+01	7.526619662316347780e-05	4.057958809222815266e-01	1.262740599682934646e-03	4.057958809222815266e-01
1.698049999999999926e+01	1.818139199685113103e-02	4.803046380886752953e-01	1.933153983176299356e-02	4.803046380886752953e-01
1.725509999999999877e+01	6.777809611878268803e-02	4.677762196958866747e-01	6.889210561451387937e-02	4.677762196958866747e-01
1.753419999999999845e+01	9.166825886206714236e-02	4.558144491462536307e-01	9.274726387765831748e-02	4.558144491462536307e-01
1.781779999999999831e+01	1.097275881054108754e-01	4.439680331533748525e-01	1.107726958734852607e-01	4.439680331533748525e-01
1.810600000000000165e+01	1.241175607909141138e-01	4.309796147522458876e-01	1.251298403937085024e-01	4.309796147522458876e-01
1.839890000000000114e+01	1.355616146438387570e-01	4.185687416402156247e-01	1.365420988269920866e-01	4.185687416402156247e-01
1.869640000000000057e+01	1.454107319409376764e-01	4.066960315016517336e-01	1.463604389955472096e-01	4.066960315016517336e-01
1.899879999999999924e+01	1.540897493777894089e-01	3.948387805882120904e-01	1.550096424105055215e-01	3.948387805882120904e-01
1.930610000000000070e+01	1.616587206474447702e-01	3.831820728730548908e-01	1.625497404382379718e-01	3.831820728730548908e-01
1.961840000000000117e+01	1.685202494322508571e-01	3.719700549857479777e-01	1.693833053164781610e-01	3.719700549857479777e-01
